Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
10.6,9.4,10.5,21.7,129.7,61.7,3.525161383
7.5,6.2,15,20.2,92,52.3,2.696594781
8.7,7.5,10.8,19.4,75.1,55.5,2.414232622
10.9,8.5,18.5,20.4,166.7,105.9,3.921277406
12.1,8.7,15.7,24.9,102,100.7,4.76899504
15.4,7.9,10.1,18.8,79.7,105.3,3.356548055
13.1,8.3,19,22,123.2,83.6,3.964192366
11.3,8.1,13.3,20.4,98.5,50,3.884355546
9.5,10.5,8.8,19.7,100.7,77.8,3.375971533
3.8,6.3,45.4,30.2,44.2,1.01,1.732797823
3,6.3,45.4,22.1,38.3,1.02,1.993107399
3.5,10.8,41.4,18.6,34.8,0.99,0.636070679
2.7,7.1,43.7,23.7,32.9,1.08,1.714300858
